topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Hazard,-0.000427837173247296,0.7391399216702914,0.18392918702997973,0.7648261834654498,54.0
Impacts,-0.1404305249452591,1.0,0.5800514817237854,1.0,1.0
Mitigation,-0.7071067811865476,1.0,-0.7071067811865476,1.0,1.0
