day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-10-26,0.4915314242243767,1.0,0.018912123516201973,1.0,1.0
2025-10-28,0.4111347073287739,1.0,0.22951886549530123,1.0,1.0
2025-10-30,0.26741905248138836,0.6843975039349809,0.3253150491200873,0.43582569898479184,3.0
2025-11-02,-0.17808422686571443,0.7324290363784445,-0.3658834803686812,0.5964646967771092,2.0
2025-11-03,-0.12399935950398405,0.7570476510069679,-0.25638788869041007,0.6437417070307866,4.0
2025-11-04,0.32066859914651435,0.856367337557182,-0.18112702549191384,1.3654206285535757,4.0
2025-11-05,-5.551115123125783e-17,1.0,0.7071067811865476,0.0,2.0
2025-11-06,0.7071067811865475,1.0,0.7071067811865476,1.0,1.0
2025-11-10,0.20463393617563708,1.2893960878613762,0.22379550563527345,1.3164946392675483,2.0
2025-11-11,-0.003655461131589266,1.0051696027090213,0.40201126644109025,0.43147021477222636,2.0
2025-11-12,0.4383181482553482,1.0,0.9347555041313171,1.0,1.0
2025-11-13,-0.7461164812515577,0.07801940013002023,-0.17633754538698415,0.6771566450952254,4.0
2025-11-14,-0.14552826815879408,0.7573754318366405,-0.462119617028363,1.0183195302903758,3.0
2025-11-15,1.1530633447638805,1.0,-0.641737495769523,1.0,1.0
2025-11-18,0.1633339561522007,1.0,0.9801515936851501,1.0,1.0
2025-11-20,-1.8340928044600784,1.0,0.6037212719931125,1.0,1.0
2025-11-21,-0.7071067811865475,1.0,-0.7071067811865476,1.0,1.0
2025-11-22,0.7071067811865476,1.0,0.7071067811865475,1.0,1.0
2025-11-23,-0.7352995205509971,1.0,0.5762865115878181,1.0,1.0
2025-11-24,-0.17071082740989144,0.7696388101417333,0.6993750752280131,0.2736461940867964,2.0
2025-11-25,0.8037623012942762,0.13669154741457518,0.9301176895441603,0.3153850511564792,2.0
2025-11-26,-0.8618990499942103,1.0,0.9267607945344443,1.0,1.0
2025-11-27,-0.20038433257058505,0.5442182399992218,0.25015161722806295,0.8013314833760795,5.0
2025-11-28,0.0406465083360672,1.0,0.990026593208313,1.0,1.0
2025-12-01,-0.7071067811865476,1.0,-0.7071067811865476,1.0,1.0
2025-12-02,0.49876927080044614,0.8235957433097795,-0.18127806924714956,0.6364921814840537,4.0
2025-12-03,-0.09688777265992547,0.7084735421604703,0.46093131305453783,1.0172214907367731,3.0
2025-12-07,-0.31964416056871414,1.0,0.9510631561279297,1.0,1.0
