keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Acumulación de nieve',-0.07480491838288272,0.8942098698907148,-0.3058147755699914,0.5675125968148338,2.0
'Acumulación rápida de nieve',0.31572653362472053,0.8615761511849722,0.3099528732536293,0.7550142046403094,17.0
'Alud',-0.31820828993640354,1.2885405460001909,-0.18849781190393028,1.0192977130104681,2.0
'Avalancha de nieve',-0.3989541607867009,0.24384066413239938,-0.17422908695521333,0.2760365878381347,3.0
'Avalancha de polvo',0.8995256412391353,0.5678062760003045,0.5538278623397128,0.26075904814476536,8.0
'Avalancha seca',-0.9137065032495021,1.0,-1.0836286997711397,1.0,1.0
'Cambios bruscos de temperatura',0.22821093179567883,0.6483433379527793,0.5707240860165768,0.3661074122896408,31.0
'Corredor de avalanchas',0.37427638834950827,1.9580019398382893,-0.4229167984442944,2.0665941872016806,2.0
'Daños por avalancha',-0.18769891605547342,0.5711354493565726,0.09643677920400737,0.7402522280598322,8.0
'Deslizamiento de nieve',-0.2763348159493344,0.7706176665660857,0.2644122406451118,0.7403544449394172,28.0
'Desprendimiento de nieve',0.04190477096722082,0.7287794411434326,-0.05351416873572697,1.0444256473360949,6.0
'Educación en seguridad invernal',-0.33308233054832814,1.2021243335948861,-0.7350571958964089,1.3708996250104435,13.0
'Estratificación débil de nieve',-0.05532383130395615,0.7393763076742749,0.06362727229527741,0.7848410306966582,18.0
'Inestabilidad del manto nival',1.8258038642596177,0.016166206684814246,0.36630945589650205,0.399193988779705,2.0
'Lluvia sobre nieve',-0.6390198702269637,0.7418525182536303,-0.08362230448561875,1.5592525330835283,4.0
'Nieve inestable',-1.0621739858760524,1.0,0.11951522047276798,1.0,1.0
'Personas sepultadas',1.1812426334236992,1.0,0.18634946185690934,1.0,1.0
'Placa de nieve',1.0214125486610175,0.7399061903011367,0.819078352179479,0.7765599502332111,2.0
'Placa de viento',0.04256888214635685,1.2387000387330296,-0.14373130406982854,1.2646412954835424,15.0
'Ruptura del manto nival',-0.18536357169436873,0.9024891574222899,-0.38826728448513226,0.8070826767931174,5.0
'Sistemas de alerta de avalanchas',-0.0716391348686476,1.0,0.7089585791380331,1.0,1.0
'Sistemas de control de avalanchas',-1.1018041218871408,1.0,-1.1513393296761207,1.0,1.0
'Víctimas por avalancha',0.21036709681511137,1.2119339211196984,-0.04977799251831688,0.6649582998395218,8.0
'Zona de avalanchas',-0.21163126825855583,1.0,-0.593264764625539,1.0,1.0
'accidente mortal avalancha',-0.6850709799015058,1.0,0.3204343296195662,1.0,1.0
'avalancha de placa',1.005554083673819,0.25552109125015926,0.47766197662221865,0.08511753540520413,2.0
'avalancha',-0.09514231383300496,0.8537486796301588,-0.08772013171474531,0.949094522238926,88.0
'cambio climático de avalanchas',-0.2620821800082922,0.5805554500283765,0.9240034222602844,0.09389306323862928,2.0
'daños por avalancha',-0.32341489174187893,1.7460839326199045,-0.293398887147527,1.2183669865224567,2.0
'desastre avalancha',-0.6885689441114664,1.0,0.9604944586753845,1.0,1.0
